1,18
2,49
3,39
4,50
5,37
6,35
7,2
8,16
9,8
10,18
11,46
12,2
13,13
14,44
15,32
16,10
17,14
18,12
19,3
20,19
21,2
22,20
23,12
24,16
25,12
26,43
27,21
28,45
29,45
30,36
31,49
32,6
33,13
34,24
35,19
36,9
37,35
38,21
39,8
40,5
41,23
42,32
43,22
44,34
45,0
46,37
47,46
48,3
49,23
50,5
51,41
52,20
53,20
54,10
55,1
56,34
57,15
58,34
59,29
60,45
61,23
62,14
63,22
64,22
65,40
66,35
67,46
68,26
69,37
70,5
71,12
72,24
73,34
74,2
75,36
76,2
77,15
78,24
79,22
80,19
81,11
82,22
83,12
84,14
85,11
86,19
87,38
88,25
89,11
90,40
91,0
92,0
93,26
94,14
95,31
96,46
97,44
98,22
99,16
100,0
101,2
102,47
103,50
104,27
105,37
106,49
107,39
108,29
109,15
110,23
111,40
112,6
113,9
114,25
115,4
116,1
117,14
118,36
119,15
120,46
121,2
122,49
123,26
124,34
125,31
126,0
127,36
128,2
129,14
130,0
131,14
132,44
133,10
134,34
135,35
136,49
137,23
138,50
139,25
140,34
141,10
142,21
143,28
144,21
145,11
146,34
147,48
148,41
149,43
150,4
151,15
152,43
153,8
154,18
155,33
156,27
157,32
158,30
159,50
160,25
161,11
162,9
163,2
164,45
165,14
166,43
167,50
168,40
169,40
170,25
171,0
172,23
173,30
174,44
175,44
176,5
177,11
178,14
179,2
180,29
181,24
182,36
183,31
184,33
185,28
186,11
187,31
188,0
189,12
190,25
191,43
192,13
193,19
194,50
195,33
196,45
197,20
198,11
199,16
200,0
201,15
202,13
203,46
204,30
205,6
206,7
207,0
208,0
209,5
210,35
211,14
212,33
213,15
214,46
215,25
216,41
217,45
218,34
219,45
220,28
221,39
222,10
223,36
224,50
225,10
226,9
227,27
228,26
229,44
230,25
231,48
232,46
233,29
234,34
235,41
236,43
237,32
238,29
239,13
240,21
241,36
242,39
243,37
244,16
245,45
246,33
247,21
248,7
249,23
250,43
251,7
252,0
253,24
254,21
255,33
256,2
257,37
258,15
259,37
260,22
261,42
262,28
263,4
264,21
265,28
266,44
267,40
268,13
269,10
270,28
271,16
272,41
273,12
274,6
275,1
276,29
277,18
278,4
279,21
280,31
281,49
282,27
283,40
284,26
285,42
286,18
287,33
288,13
289,50
290,20
291,14
292,1
293,11
294,4
295,32
296,48
297,49
298,9
299,11
300,7
301,45
302,1
303,23
304,45
305,46
306,37
307,5
308,1
309,22
310,10
311,0
312,31
313,19
314,36
315,37
316,41
317,25
318,36
319,46
320,37
321,46
322,15
323,17
324,30
325,4
326,43
327,9
328,17
329,2
330,16
331,13
332,8
333,15
334,17
335,24
336,44
337,43
338,12
339,19
340,33
341,4
342,13
343,7
344,16
345,42
346,13
347,33
348,44
349,9
350,15
351,20
352,33
353,41
354,9
355,3
356,28
357,37
358,28
359,9
360,49
361,2
362,8
363,14
364,15
365,19
366,0
367,8
368,42
369,11
370,41
371,28
372,45
373,30
374,41
375,10
376,33
377,39
378,12
379,24
380,10
381,25
382,33
383,5
384,19
385,49
386,46
387,42
388,36
389,50
390,36
391,9
392,40
393,30
394,23
395,38
396,47
397,39
398,48
399,9
400,29
401,25
402,43
403,14
404,9
405,18
406,13
407,4
408,0
409,34
410,0
411,43
412,24
413,10
414,23
415,5
416,44
417,39
418,29
419,14
420,4
421,7
422,7
423,1
424,6
425,10
426,28
427,18
428,46
429,37
430,24
431,0
432,0
433,48
434,18
435,50
436,7
437,22
438,36
439,31
440,6
441,48
442,17
443,8
444,22
445,37
446,50
447,33
448,48
449,20
450,5
451,2
452,11
453,6
454,15
455,42
456,37
457,27
458,23
459,21
460,4
461,22
462,42
463,31
464,43
465,48
466,30
467,18
468,49
469,21
470,48
471,8
472,0
473,44
474,24
475,48
476,14
477,16
478,30
479,26
480,22
481,40
482,18
483,40
484,5
485,49
486,10
487,44
488,7
489,42
490,17
491,37
492,3
493,31
494,28
495,43
496,17
497,19
498,50
499,48
500,6
501,6
502,41
503,29
504,8
505,17
506,35
507,0
508,47
509,9
510,32
511,49
512,3
513,37
514,19
